File,BJD,Flux_Star_1,Flux_err_Star_1,Minst_Star_1,Minst_err_Star_1,Star_1_x,Star_1_y,Flux_Star_2,Flux_err_Star_2,Minst_Star_2,Minst_err_Star_2,Star_2_x,Star_2_y,Flux_Star_3,Flux_err_Star_3,Minst_Star_3,Minst_err_Star_3,Star_3_x,Star_3_y,Flux_Star_4,Flux_err_Star_4,Minst_Star_4,Minst_err_Star_4,Star_4_x,Star_4_y,Flux_Star_5,Flux_err_Star_5,Minst_Star_5,Minst_err_Star_5,Star_5_x,Star_5_y,Flux_Star_6,Flux_err_Star_6,Minst_Star_6,Minst_err_Star_6,Star_6_x,Star_6_y,Flux_Star_7,Flux_err_Star_7,Minst_Star_7,Minst_err_Star_7,Star_7_x,Star_7_y
WASP36B.2025-02-17.0130_reduced.fits,2460724.5748701254,282287.05817382614,546.1749403994041,-8.186499271846655,0.0021007052564134526,497,399,54047.11755732938,264.9277800015538,-6.391703195108775,0.005322054077884423,636,436,509698.5291277208,724.8821457931656,-8.828055303153068,0.0015441103807328934,492,609,164941.11389225206,424.80924692659005,-7.60309416022555,0.002796336029387642,501,272,92046.21791035465,327.9776520380368,-6.9697867235318265,0.003868678358040408,493,233,308801.1368085016,569.492139197447,-8.28396907851446,0.002002318515541169,379,331,47220.39126584746,249.44475793352441,-6.245095805611813,0.005735471424851068,400,354
WASP36B.2025-02-17.0131_reduced.fits,2460724.576648809,276223.55260707415,543.1590443792412,-8.162923618807199,0.0021349643571605655,497,399,52597.195287955925,267.7735515330621,-6.362178318094958,0.005527508415314418,636,436,502132.80926233024,722.0295032557575,-8.811818349911709,0.001561207628993531,492,609,161486.79347969237,424.33718785570517,-7.580114380276031,0.0028529778686709013,501,272,90656.8782100313,330.3288489628574,-6.95327375224104,0.003956125534834146,493,233,302276.1189920617,566.3464207970497,-8.26078144624274,0.0020342421212265456,379,331,44585.431397351516,247.583141928311,-6.18275428516509,0.006029099023034363,400,354
WASP36B.2025-02-17.0132_reduced.fits,2460724.5784274233,291172.8578819912,560.32151074924,-8.220149075138913,0.0020893477329943393,497,399,54788.10835078812,278.8865382236516,-6.40648761727324,0.005526695859444192,636,436,526037.4801286788,741.0610654019945,-8.862313574119527,0.0015295427779152876,492,609,171279.2883296837,440.75909538785965,-7.6440339768213015,0.002793963660789603,501,272,95297.47996680951,344.4806921931597,-7.007475393280346,0.00392471195969209,493,233,320312.22741800064,586.132300209636,-8.32370564609191,0.0019867648020982158,379,331,47775.48465559636,263.4616694247793,-6.257784605921412,0.00598737773405284,400,354
WASP36B.2025-02-17.0133_reduced.fits,2460724.580217519,300142.6636375347,569.8303740792373,-8.253091183354023,0.002061304648298343,497,399,56524.54606082784,283.8595292215017,-6.4403645605734985,0.005452437735806363,636,436,542139.2089830447,752.6632327681644,-8.89504889679913,0.0015073503415102539,492,609,176042.47262721215,447.49297551029326,-7.6738155020428,0.002759898322465198,501,272,98043.76034066227,349.23074607333723,-7.0383217516067385,0.003867379867000661,493,233,328151.30698377406,593.6430892835518,-8.349957198197187,0.001964154281949836,379,331,46227.32170908582,260.19589351184186,-6.222018683043404,0.0061111933694327,400,354
WASP36B.2025-02-17.0134_reduced.fits,2460724.581991469,288146.85311278416,554.1471356778577,-8.208806554760379,0.002088024219139986,497,399,53893.88459357727,269.7333575151296,-6.388620572473204,0.005433998200234495,636,436,523320.15325345815,736.3097166775138,-8.856690502119559,0.0015276272322820095,492,609,168911.0740548234,432.8332969864251,-7.628917161061009,0.0027821904738493364,501,272,93288.24160166651,334.3121343735544,-6.984339120105218,0.003890895377031616,493,233,316063.88979058916,578.4644445043024,-8.309209053993028,0.0019871292192845794,379,331,47850.882941794844,255.44728095750003,-6.259496741771039,0.0057960970475705205,400,354
WASP36B.2025-02-17.0135_reduced.fits,2460724.583798705,293726.9161136255,558.5669293763219,-8.229631216318564,0.002064694465283011,497,399,55918.451197083596,273.0249520885595,-6.428659687411438,0.005301167484774025,636,436,529413.8380226039,740.0920970929542,-8.869260074535708,0.0015178008713759403,492,609,171937.05627111567,435.7886735983731,-7.648195569670408,0.0027518881084203097,501,272,95274.56975158493,336.1724545627587,-7.007214342929209,0.003830976155682114,493,233,320548.7719824413,581.8332239979441,-8.324507145978954,0.001970737222042198,379,331,48916.21541385573,257.2006448734474,-6.283403974474417,0.005708782857864773,400,354
WASP36B.2025-02-17.0137_reduced.fits,2460724.587351269,305260.0733146109,584.8168110189144,-8.27144686283649,0.002080051865217307,497,399,56418.61525683777,304.4111969328948,-6.438327908836923,0.00585817741430199,636,436,547919.7160009138,764.652224389991,-8.906564172604103,0.0015152048371766674,492,609,176508.44446733018,461.68264397141854,-7.676685571398951,0.0028398956388797905,501,272,100210.61118881157,370.1644352711758,-7.062056129660684,0.004010562597313393,493,233,331948.91570879647,606.8038854826732,-8.36244998833181,0.001984729928247166,379,331,43990.767785274766,271.2242268107773,-6.168175707177825,0.0066940855429798475,400,354
WASP36B.2025-02-17.0138_reduced.fits,2460724.5891205664,302456.7749745468,581.1150153026732,-8.26143014502722,0.0020860422494942727,497,399,56027.54446054206,301.9424622828684,-6.43077582461906,0.005851226681640554,636,436,536099.7877701572,755.6327435173539,-8.882885940605616,0.0015303453682567836,492,609,175085.5341944251,458.57942798423477,-7.667897516269279,0.0028437317223869796,501,272,98028.22169388832,365.1830130659722,-7.038149663058077,0.0040446762350388205,493,233,328150.64763831237,602.591030923427,-8.349955016654883,0.0019937638509774022,379,331,43230.97142051861,267.59207427387656,-6.149259338478691,0.006720515260214083,400,354
WASP36B.2025-02-17.0139_reduced.fits,2460724.5908857896,304445.15133673063,591.0052448289787,-8.26854450679116,0.0021076893118361435,497,399,54985.37220566982,312.97858018441696,-6.410389775400911,0.006180046841348416,636,436,543582.7902710143,766.610903031095,-8.897936098851865,0.0015312059676653939,492,609,177755.53341670154,471.26937276438673,-7.684329674668896,0.0028785276630711827,501,272,98793.1886053678,378.4151166489582,-7.046589359247964,0.004158778539021881,493,233,331902.21767708106,613.2664960090965,-8.362297237989878,0.0020061500117183814,379,331,39705.551388291955,270.49529264426627,-6.056899930902901,0.007396611359668086,400,354
WASP36B.2025-02-17.0140_reduced.fits,2460724.592657147,290714.17423121905,572.7410607377717,-8.21843736987023,0.002139027817405248,497,399,53691.67672061489,302.20823486949695,-6.384539268915399,0.006111159904378254,636,436,516510.0182505672,744.1810161142341,-8.842468726190333,0.0015643148119867656,492,609,168371.30096127497,453.14548487496654,-7.625442021333862,0.0029220921626339786,501,272,94806.30877703379,363.1081822679891,-7.001864947179872,0.00415836988928074,493,233,311596.63701210317,589.7389951564888,-8.293753756834452,0.002054903366541174,379,331,39346.22051835257,262.49347923974096,-6.047029406496485,0.007243355782814742,400,354
WASP36B.2025-02-17.0141_reduced.fits,2460724.5944346497,286708.9444573246,572.8462472627135,-8.203374956961628,0.0021693076635268056,497,399,52001.62345297463,303.2388859219306,-6.349814107873887,0.00633129151119083,636,436,504844.8779792428,738.3137711036348,-8.817666738317618,0.0015878421802898472,492,609,164565.0517782675,453.08160481770267,-7.600615879257191,0.002989256204429786,501,272,91657.91542045731,363.9456184384043,-6.965196791972687,0.00431112722440848,493,233,307063.12900581706,589.3121741191688,-8.277841030144957,0.002083732962070438,379,331,34734.43820533919,249.92568988239287,-5.91167254983583,0.007812228555427032,400,354
WASP36B.2025-02-17.0142_reduced.fits,2460724.596778057,301337.6105618951,587.3288468125423,-8.257405202952308,0.0021161785676011304,497,399,57606.28366724404,317.27240372884717,-6.460946498990348,0.005979801396126542,636,436,556188.5661218038,774.8878367680435,-8.922826993826563,0.0015126592494918796,492,609,178529.6336952228,471.5579249403068,-7.689047637124821,0.0028678012784272445,501,272,99202.01732413248,377.45036321874494,-7.05107311197585,0.004131080555616931,493,233,333240.24030206655,613.9656444410377,-8.366665449788403,0.0020003728482581988,379,331,38009.0634456381,264.54726775348786,-6.009489773842746,0.007556843563920193,400,354
WASP36B.2025-02-17.0143_reduced.fits,2460724.598553592,282335.75842951174,549.7173554047585,-8.186686567256459,0.0021139654377001203,497,399,54379.244664545666,273.1770440053521,-6.398354779563698,0.005454253894386886,636,436,522339.15910930635,736.5539211165808,-8.85465331628121,0.0015310038410225465,492,609,167998.34132851422,433.4959515035879,-7.623034337100608,0.0028015886671354565,501,272,93094.44281601731,335.93170578508244,-6.98208124476121,0.003917883863571134,493,233,312700.62924190424,576.5770167916827,-8.297593740277946,0.0020019484561954173,379,331,46964.63837717638,255.5563027823286,-6.2391993090187885,0.005907992478437704,400,354
WASP36B.2025-02-17.0144_reduced.fits,2460724.600320609,279967.46474348265,546.2031467705577,-8.177540763722025,0.0021182194586252118,497,399,54518.395882347606,270.4445627860708,-6.401129524665144,0.0053859151290967175,636,436,523143.869050533,736.2107723442808,-8.856324702361183,0.0015279366483217248,492,609,167511.79869754618,431.28704171553625,-7.619885357341842,0.002795408797914405,501,272,94850.12205612399,336.6204807382533,-7.002366587582939,0.0038532480009287546,493,233,311557.281426835,574.2654246045339,-8.293616616450423,0.002001239578733335,379,331,47457.258544666554,254.27641498988953,-6.250528469338033,0.0058173842787565,400,354
WASP36B.2025-02-17.0145_reduced.fits,2460724.6020874754,281654.1114638269,549.5833535388937,-8.184062090508286,0.002118565006448339,497,399,54896.7867605859,274.5391685854207,-6.4086391646250735,0.00542977344479835,636,436,523964.9916317318,737.7559848149084,-8.858027529509672,0.001528744087455222,492,609,166990.30719508283,432.5060103847348,-7.616500011459447,0.002812064018192485,501,272,94204.44416434415,337.7518294324947,-6.994950330959876,0.0038926973423717656,493,233,314338.6108448356,578.1058136916264,-8.3032661762614,0.0019967970540405184,379,331,46434.622422821536,254.18854591358,-6.226876648582083,0.005943446780296404,400,354
WASP36B.2025-02-17.0146_reduced.fits,2460724.6038612514,281302.17834564677,548.4493112455652,-8.18270459052203,0.0021168384731180133,497,399,53643.472045135364,269.4600645479322,-6.383564051281152,0.005453833181603004,636,436,519464.1229508476,733.877661819392,-8.848660747769806,0.0015338836930148313,492,609,167157.01798037897,431.6387554293654,-7.617583389578622,0.002803626373625615,501,272,93053.03817222858,334.9763501317472,-6.981598245783096,0.003908480133691299,493,233,314452.414420238,577.565356543957,-8.303659186525321,0.001994208310882198,379,331,47019.957175742806,254.50446427036934,-6.2404774254801065,0.005876753781338306,400,354
WASP36B.2025-02-17.0147_reduced.fits,2460724.605630525,273117.1403591453,537.4590416980416,-8.150644243773886,0.0021365877636929974,497,399,53121.160824437065,263.12211594887754,-6.37294074445324,0.0053779172579158365,636,436,506635.15291083633,722.6593133564112,-8.821510152483231,0.001548683259952931,492,609,162626.41914866574,422.4343210515762,-7.587749600931257,0.0028202812242876497,501,272,91172.26749195097,327.4353971611147,-6.959428742403473,0.0038993048565844324,493,233,304807.6968953863,565.9624283239399,-8.269836675999759,0.002015978944176821,379,331,46600.91108422977,247.90228971913277,-6.230757871284595,0.005775777445724378,400,354
WASP36B.2025-02-17.0148_reduced.fits,2460724.607429023,280361.5439706851,546.71248411992,-8.179067959881452,0.0021172145408940852,497,399,55294.20313933777,271.99515340005456,-6.416470861609936,0.005340794672834077,636,436,521506.9157709845,734.9268055796554,-8.852922032451552,0.0015300595572839497,492,609,165953.6625226079,429.36051134877096,-7.609738956195934,0.0028090507011336225,501,272,92788.99491001037,333.34468660493354,-6.9785130285417445,0.0039005099178165904,493,233,312993.2674226008,575.597979012722,-8.298609341972442,0.001996680536760311,379,331,47398.71653435385,253.9840027547127,-6.249188307305796,0.00581787118687726,400,354
WASP36B.2025-02-17.0149_reduced.fits,2460724.609200588,280676.9685606572,546.0168415248759,-8.180288795619596,0.0021121442784968764,497,399,54978.98620146224,269.3276886390244,-6.41026367061423,0.00531873798886885,636,436,521200.74576543184,733.8030853469205,-8.852284423500059,0.0015286174921993227,492,609,168776.22480338637,431.75883230662953,-7.628050023192649,0.0027775013720415668,501,272,94435.0373799862,334.4951177434599,-6.9976047437630475,0.0038457490961493054,493,233,312975.7675654183,574.6197190621141,-8.298548635364082,0.0019933985234920066,379,331,47171.95586820845,251.24197822495339,-6.24398156126848,0.0057827263443559545,400,354
WASP36B.2025-02-17.0150_reduced.fits,2460724.610998125,277558.21611341543,541.025112570197,-8.168157071324284,0.002116350798856477,497,399,54002.45100095129,263.8750984991801,-6.390805531178948,0.005305291568518446,636,436,513985.6863358399,727.480946167483,-8.837149414285186,0.001536720617954415,492,609,166018.34034987196,425.58812329509567,-7.610162022352035,0.0027832854659476684,501,272,93861.37765766974,330.32754152683987,-6.9909891631465175,0.0038210452500760635,493,233,309428.0026053942,569.464878644867,-8.286170887135484,0.001998166393722984,379,331,47948.51626968495,249.71145773218478,-6.261709784367429,0.0056544141820333285,400,354
WASP36B.2025-02-17.0151_reduced.fits,2460724.612769806,282834.9468175937,553.0599224844631,-8.188604525996515,0.002123065724368802,497,399,55384.93722784944,279.6792673692781,-6.418251021930029,0.005482680336962891,636,436,524905.5773110719,739.7707781315048,-8.859974820681195,0.0015301721904994632,492,609,167949.13530166115,436.7234469486166,-7.622716282827574,0.002823274183384196,501,272,94203.32349350592,342.467635012481,-6.994937414794923,0.003947095458012967,493,233,314847.55341894994,580.7343387395185,-8.305022659575123,0.0020026336240153773,379,331,46212.526339666074,259.0161917053757,-6.221671130148888,0.006085433522635905,400,354
WASP36B.2025-02-17.0152_reduced.fits,2460724.614564484,266289.6915919791,531.67254804255,-8.123157739061112,0.0021677749935971984,497,399,51814.683796513906,260.94095685957143,-6.345903982810267,0.00546781382048552,636,436,492712.3377457331,713.329888401178,-8.791255445727208,0.0015718869336958105,492,609,159118.38165276218,418.51052193376074,-7.564072734997626,0.0028556853143925707,501,272,88682.23985433952,323.58521281961043,-6.929363486338352,0.0039616520902006035,493,233,297909.94591690734,560.3179111758642,-8.24498435901141,0.0020420850350117807,379,331,44550.640095416995,244.1089325609757,-6.181906723063538,0.005949138001578946,400,354
