File,BJD,Flux_Star_1,Flux_err_Star_1,Minst_Star_1,Minst_err_Star_1,Star_1_x,Star_1_y,Flux_Star_2,Flux_err_Star_2,Minst_Star_2,Minst_err_Star_2,Star_2_x,Star_2_y,Flux_Star_3,Flux_err_Star_3,Minst_Star_3,Minst_err_Star_3,Star_3_x,Star_3_y,Flux_Star_4,Flux_err_Star_4,Minst_Star_4,Minst_err_Star_4,Star_4_x,Star_4_y,Flux_Star_5,Flux_err_Star_5,Minst_Star_5,Minst_err_Star_5,Star_5_x,Star_5_y,Flux_Star_6,Flux_err_Star_6,Minst_Star_6,Minst_err_Star_6,Star_6_x,Star_6_y,Flux_Star_7,Flux_err_Star_7,Minst_Star_7,Minst_err_Star_7,Star_7_x,Star_7_y
WASP36B.2025-02-17.0130_reduced.fits,2460724.5748701254,282287.05817382614,546.1749403994041,-8.186499271846655,0.0021007052564134526,497,399,54047.11755731859,264.9277800015271,-6.391703195108558,0.00532205407788495,636,436,509698.52912768343,724.8821457931389,-8.828055303152988,0.0015441103807329495,492,609,164941.1138922126,424.809246926539,-7.6030941602252895,0.0027963360293879747,501,272,92046.21791033632,327.9776520380041,-6.969786723531611,0.0038686783580407936,493,233,308801.1368084858,569.492139197432,-8.283969078514405,0.002002318515541219,379,331,47220.39126582026,249.44475793345256,-6.245095805611188,0.0057354714248527205,400,354
WASP36B.2025-02-17.0131_reduced.fits,2460724.576648809,276223.5526070579,543.1590443792248,-8.162923618807135,0.0021349643571606266,497,399,52597.195287957045,267.77355153306513,-6.362178318094981,0.005527508415314362,636,436,502132.8092623471,722.0295032557697,-8.811818349911745,0.001561207628993505,492,609,161486.7934797001,424.3371878557151,-7.580114380276083,0.0028529778686708315,501,272,90656.8782099242,330.3288489626611,-6.953273752239757,0.003956125534836469,493,233,302276.1189919871,566.3464207969804,-8.260781446242472,0.002034242121226799,379,331,44585.43139717526,247.58314192782265,-6.182754285160797,0.006029099023046306,400,354
WASP36B.2025-02-17.0132_reduced.fits,2460724.5784274233,291172.8578820236,560.3215107492708,-8.220149075139034,0.0020893477329942214,497,399,54788.10835079033,278.8865382236572,-6.406487617273284,0.005526695859444081,636,436,526037.4801286504,741.0610654019739,-8.862313574119469,0.001529542777915328,492,609,171279.28832968645,440.759095387863,-7.644033976821318,0.0027939636607895797,501,272,95297.47996681796,344.4806921931745,-7.007475393280442,0.003924711959691909,493,233,320312.2274179954,586.1323002096316,-8.323705646091891,0.001986764802098233,379,331,47775.484655599175,263.4616694247868,-6.257784605921475,0.005987377734052658,400,354
WASP36B.2025-02-17.0133_reduced.fits,2460724.580217519,300142.66363599926,569.8303740776921,-8.253091183348468,0.002061304648303298,497,399,56524.54606081926,283.8595292214885,-6.440364560573334,0.005452437735806936,636,436,542139.208983538,752.6632327685053,-8.895048896800118,0.001507350341509565,492,609,176042.4725907444,447.49297546330496,-7.673815501817886,0.0027598983227471205,501,272,98043.76034021974,349.2307460725654,-7.038321751601838,0.00386737986700957,493,233,328151.3069829639,593.6430892827613,-8.349957198194506,0.001964154281952069,379,331,46227.32170916837,260.19589351226193,-6.222018683045343,0.006111193369431653,400,354
WASP36B.2025-02-17.0134_reduced.fits,2460724.581991469,288146.85311281565,554.1471356778876,-8.208806554760496,0.0020880242191398707,497,399,53893.884593584764,269.7333575151469,-6.388620572473355,0.005433998200234088,636,436,523320.1532533056,736.3097166774085,-8.856690502119243,0.0015276272322822363,492,609,168911.074054836,432.8332969864408,-7.628917161061091,0.00278219047384923,501,272,93288.24160168419,334.3121343735871,-6.984339120105423,0.0038908953770312596,493,233,316063.88979058515,578.4644445042985,-8.309209053993014,0.0019871292192845916,379,331,47850.88294199055,255.4472809580231,-6.259496741775479,0.005796097047558683,400,354
WASP36B.2025-02-17.0135_reduced.fits,2460724.583798705,293726.9161137949,558.5669293764842,-8.22963121631919,0.00206469446528242,497,399,55918.45119708342,273.0249520885558,-6.428659687411434,0.005301167484773969,636,436,529413.8380233716,740.0920970934911,-8.869260074537282,0.0015178008713748405,492,609,171937.05627110446,435.78867359835834,-7.648195569670337,0.0027518881084203956,501,272,95274.569751591,336.17245456276845,-7.007214342929279,0.003830976155681982,493,233,320548.7719824651,581.8332239979669,-8.324507145979034,0.0019707372220421292,379,331,48916.21541387216,257.20064487348986,-6.283403974474782,0.005708782857863799,400,354
WASP36B.2025-02-17.0137_reduced.fits,2460724.587351269,305260.07331597246,584.8168110202074,-8.271446862841332,0.0020800518652126284,497,399,56418.6152568268,304.41119693288636,-6.438327908836711,0.005858177414302967,636,436,547919.7159939706,764.652224385137,-8.906564172590345,0.001515204837186249,492,609,176508.44451044156,461.6826440204874,-7.676685571664137,0.00283989563848799,501,272,100210.6111887628,370.164435271086,-7.062056129660156,0.004010562597314371,493,233,331948.91570988577,606.8038854836803,-8.362449988335372,0.001984729928243947,379,331,43990.767785609656,271.2242268119931,-6.168175707186091,0.006694085542958895,400,354
WASP36B.2025-02-17.0138_reduced.fits,2460724.5891205664,302456.77497471584,581.1150153028334,-8.261430145027827,0.002086042249493682,497,399,56027.54446054625,301.9424622828797,-6.430775824619141,0.005851226681640336,636,436,536099.7877724628,755.6327435189767,-8.882885940610286,0.0015303453682534885,492,609,175085.5341944867,458.5794279843145,-7.667897516269661,0.0028437317223864735,501,272,98028.22169393943,365.18301306607714,-7.038149663058642,0.004044676235037874,493,233,328150.6476379253,602.5910309230726,-8.349955016653603,0.0019937638509785814,379,331,43230.97142051073,267.5920742738591,-6.149259338478493,0.0067205152602148694,400,354
WASP36B.2025-02-17.0139_reduced.fits,2460724.5908857896,304445.151336588,591.0052448288377,-8.26854450679065,0.0021076893118366284,497,399,54985.37220565838,312.97858018438376,-6.410389775400684,0.006180046841349046,636,436,543582.790269507,766.610903030031,-8.897936098848854,0.0015312059676675148,492,609,177755.5334708591,471.26937283487814,-7.684329674999692,0.0028785276626247325,501,272,98793.1886055747,378.4151166493505,-7.046589359250238,0.0041587785390174836,493,233,331902.21767729725,613.266496009297,-8.362297237990585,0.0020061500117177305,379,331,39705.55138837156,270.4952926443165,-6.056899930905079,0.007396611359654631,400,354
WASP36B.2025-02-17.0140_reduced.fits,2460724.592657147,290714.1742312042,572.741060737756,-8.218437369870175,0.0021390278174052988,497,399,53691.676720617106,302.208234869506,-6.384539268915445,0.006111159904378184,636,436,516510.0182508578,744.1810161144418,-8.842468726190944,0.001564314811986322,492,609,168371.3009612406,453.14548487491965,-7.625442021333642,0.002922092162634273,501,272,94806.30877703501,363.1081822679927,-7.001864947179887,0.004158369889280727,493,233,311596.6370120812,589.7389951564681,-8.293753756834375,0.002054903366541247,379,331,39346.22051831238,262.4934792396565,-6.047029406495375,0.007243355782819811,400,354
