File,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise
WASP36B.2025-02-17.0191_reduced.fits,543,406,607859.5136213646,596.5179897970063,555,570,21906.768266911804,239.17073148817983,683,441,108912.54186357734,391.2022605976315
WASP36B.2025-02-17.0184_reduced.fits,543,406,646326.4604094366,615.7507417354173,555,570,26565.090099571273,274.3855969678221,683,441,116724.59133525303,401.7173470174682
WASP36B.2025-02-17.0183_reduced.fits,543,406,682721.4958724744,626.5881886104585,555,570,32921.859876560666,312.47268152071075,683,441,129798.34252189576,425.15663296519426
WASP36B.2025-02-17.0189_reduced.fits,543,406,640907.2596608934,618.5462045945842,555,570,29501.848131792725,301.53064593482435,683,441,116635.90793897191,410.63091143261124
WASP36B.2025-02-17.0176_reduced.fits,543,406,622087.802030189,606.9299345756305,555,570,26955.845946394133,287.5865255912459,683,441,113180.71879469791,402.34964646620205
WASP36B.2025-02-17.0171_reduced.fits,543,406,682614.0124188125,629.4492410307504,555,570,30181.751511346018,280.07371558867516,683,441,124773.60170011735,409.86191347266754
WASP36B.2025-02-17.0131_reduced.fits,543,406,663961.4541319292,619.5680027702408,555,570,25350.34976976307,263.4141054561028,683,441,118690.39762804982,400.3665325786157
WASP36B.2025-02-17.0164_reduced.fits,543,406,695921.6388362317,640.4880868302295,555,570,33152.96934369846,300.7521435677468,683,441,128968.58515128506,416.14713019788854
WASP36B.2025-02-17.0163_reduced.fits,543,406,668533.6179596458,622.3902421064654,555,570,31001.43360515016,287.02924556991536,683,441,124998.27944873027,407.74967683579473
WASP36B.2025-02-17.0155_reduced.fits,543,406,640312.9353298343,612.4622360666318,555,570,23610.766966547686,247.92737419811334,683,441,115981.8341831611,401.37973344667455
WASP36B.2025-02-17.0152_reduced.fits,543,406,653611.365060824,609.0449239190466,555,570,32259.478265511116,294.0857539848655,683,441,124561.2319886903,405.3114259514267
WASP36B.2025-02-17.0147_reduced.fits,543,406,698099.9973108466,633.9931386501106,555,570,30728.924810956014,273.8836258915437,683,441,128737.56489187226,411.6587190829865
WASP36B.2025-02-17.0140_reduced.fits,543,406,421551.2593257137,502.3340732957768,555,570,593.4055476571777,45.14175535016084,683,441,77259.55724642926,350.9036525901819
WASP36B.2025-02-17.0162_reduced.fits,543,406,713597.4833414454,638.4948401011014,555,570,33737.467515800614,291.91488822580175,683,441,133681.34329244783,413.8686474251114
WASP36B.2025-02-17.0165_reduced.fits,543,406,699694.2917870268,630.1428638890625,555,570,35018.33473249465,304.8988998624784,683,441,131384.26738792326,410.6361063801155
WASP36B.2025-02-17.0130_reduced.fits,543,406,727361.7014234327,649.5041698855104,555,570,35987.71222346596,320.0141015742066,683,441,131711.5102063593,415.178657254196
WASP36B.2025-02-17.0170_reduced.fits,543,406,584239.5660469853,593.7540898156647,555,570,23570.948045132413,272.36259847804354,683,441,107167.08646593725,399.5773619208016
WASP36B.2025-02-17.0177_reduced.fits,543,406,644059.31279464,616.5449341232669,555,570,30146.088542667272,295.8407388994648,683,441,117169.02282700741,406.4199636214315
WASP36B.2025-02-17.0188_reduced.fits,543,406,619044.9093228731,607.5012979474636,555,570,23502.988423123825,268.95643710697556,683,441,109227.98217294588,398.2532297975614
WASP36B.2025-02-17.0141_reduced.fits,543,406,226252.3310964995,359.40032533328514,555,570,662.776138996676,45.42506384351513,683,441,40949.914843346574,242.46337987878906
WASP36B.2025-02-17.0146_reduced.fits,543,406,673934.6535810098,625.4518096642886,555,570,27629.257949968996,265.00863917265184,683,441,121705.84361408456,404.0127256164231
WASP36B.2025-02-17.0153_reduced.fits,543,406,681688.0321574585,632.0664999988061,555,570,34817.995678543666,324.9872408726698,683,441,126831.80896796103,417.3844707656708
WASP36B.2025-02-17.0154_reduced.fits,543,406,656113.5265665514,621.6204878091125,555,570,26939.888228407457,277.933237958138,683,441,118107.5150869747,400.09309568856105
