File,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise,Star_4_x,Star_4_y,Star_4_flux,Star_4_noise
WASP36B.2025-02-17.0132_reduced.fits,543,406,1654.3226847678045,381.81904132767704,446,362,270.74924012684335,347.396563130592,541,616,3034.4977478594665,395.3330235859775,683,441,299.1274319704022,360.32623332328166
WASP36B.2025-02-17.0167_reduced.fits,543,406,1710.0867174890013,381.8920585101339,446,362,289.2026259174172,350.0389611051441,541,616,3190.911489592177,393.2177061737342,683,441,323.2399883654011,360.3596911106166
WASP36B.2025-02-17.0135_reduced.fits,543,406,1828.0796565673395,393.8042425448702,446,362,311.02153774249496,362.8654535189961,541,616,3267.270053194702,390.9885857429921,683,441,334.3215800452044,365.40263577412804
WASP36B.2025-02-17.0160_reduced.fits,543,406,1556.779449992638,364.57796871149094,446,362,252.35875964198772,311.3649736140283,541,616,2859.4015713574877,361.3458450425306,683,441,281.49191821864986,328.51784264667407
WASP36B.2025-02-17.0175_reduced.fits,543,406,1614.8284723209308,374.5302919864395,446,362,261.9288038630376,325.6991878897439,541,616,2996.326982901108,385.94330341301463,683,441,289.32128327788956,339.45485358970285
WASP36B.2025-02-17.0172_reduced.fits,543,406,1719.52302019474,377.0969145911327,446,362,292.17072690812915,339.4590506515283,541,616,3182.7543637436006,383.81533580533505,683,441,324.9692678698674,347.4745920246406
WASP36B.2025-02-17.0144_reduced.fits,543,406,1670.8428943580986,374.6050640841429,446,362,293.9482138551011,357.77837605422457,541,616,3134.6081065024337,383.7526100785778,683,441,311.5870574092832,350.07093384492873
WASP36B.2025-02-17.0143_reduced.fits,543,406,1685.6670435984731,388.960757881446,446,362,266.9772351538373,322.8940392644294,541,616,3124.4438331594492,395.4467671165502,683,441,299.91833387164894,344.8029761151455
WASP36B.2025-02-17.0156_reduced.fits,543,406,13.030812767453664,42.86583305615404,446,362,161.93960187417565,260.1279422565114,541,616,1919.6705386411181,302.188125592885,683,441,179.20141627917587,270.47579309340006
WASP36B.2025-02-17.0151_reduced.fits,543,406,1637.150397895598,395.872834403294,446,362,268.4420953514704,344.75732929024355,541,616,2989.6249464028633,383.5636617069211,683,441,300.44976426186474,357.78746194131077
WASP36B.2025-02-17.0173_reduced.fits,543,406,1593.6868896305377,374.50206679370575,446,362,256.4587746880344,325.69079041763473,541,616,2898.474610113853,371.3592439829381,683,441,285.31464324030634,339.44895195827166
WASP36B.2025-02-17.0174_reduced.fits,543,406,1677.2581525323376,372.1705529254409,446,362,278.25200796655463,334.0204045992311,541,616,3136.5801642310776,390.8214225094902,683,441,313.2291292829839,344.82227760583123
WASP36B.2025-02-17.0161_reduced.fits,543,406,1748.6719799656728,377.13556177311494,446,362,297.8351253738691,344.79995523399333,541,616,3245.252063072273,383.8967435374919,683,441,323.8048631236176,334.0885863716255
WASP36B.2025-02-17.0134_reduced.fits,543,406,1749.532113030828,386.690945601666,446,362,294.07621380265135,347.43013549291203,541,616,3203.8139619194826,393.2341121022698,683,441,313.84075131211824,357.80617505774705
WASP36B.2025-02-17.0166_reduced.fits,543,406,1702.5788536981067,374.647420913083,446,362,291.6643163761949,347.4266644217118,541,616,3124.6124292219224,371.6635923932924,683,441,316.30315197971106,344.82673497855365
WASP36B.2025-02-17.0133_reduced.fits,543,406,1726.398847951802,398.2825608778078,446,362,286.54669675331223,360.30877547698856,541,616,3154.6563566601217,406.85452228110336,683,441,315.7675626799167,372.792004616256
WASP36B.2025-02-17.0150_reduced.fits,543,406,1754.3513786790888,379.554159749919,446,362,309.30960896543564,352.66390530567094,541,616,3243.0630013635846,381.510251246479,683,441,325.39490397820686,347.4752044949377
WASP36B.2025-02-17.0142_reduced.fits,543,406,1156.0128260354152,346.0421749296252,446,362,82.03090334156737,191.2354766249031,541,616,1933.887185296338,325.46500663303476,683,441,179.98810986849853,296.2322264537368
WASP36B.2025-02-17.0145_reduced.fits,543,406,1667.0483987974449,386.58427761107566,446,362,280.33435166439784,339.44161603137746,541,616,3093.144915152639,386.0687132902662,683,441,306.64200898952015,352.6601232142235
WASP36B.2025-02-17.0148_reduced.fits,543,406,1685.1697372373048,379.46301340450196,446,362,294.58673821434985,352.6430308891644,541,616,3174.312184492858,390.86969224103734,683,441,317.16110556602865,352.6750368285907
WASP36B.2025-02-17.0139_reduced.fits,543,406,640.9998670962507,242.9472421199218,446,362,102.09814566445435,226.24470249913404,541,616,1035.4437680185313,228.29807496182647,683,441,18.276515476563496,95.60607025513409
WASP36B.2025-02-17.0193_reduced.fits,543,406,1567.283727616458,372.0227762381122,446,362,255.8485839136559,331.244288152642,541,616,2864.9121231969216,378.6125619906902,683,441,289.78495438640965,355.21367411981595
WASP36B.2025-02-17.0194_reduced.fits,543,406,1551.8747559856488,379.28733640971143,446,362,258.9091769097582,347.37952157795706,541,616,2804.288045403459,376.1148749897166,683,441,275.9890678860142,344.76827445673706
WASP36B.2025-02-17.0181_reduced.fits,543,406,1673.7451650129037,369.7065845322184,446,362,290.1319665679116,360.3137507167074,541,616,3105.085999862824,388.43975246766723,683,441,315.943437663514,355.2504929834383
WASP36B.2025-02-17.0179_reduced.fits,543,406,1581.0643083582802,372.04129692905644,446,362,266.8363043446852,344.7550004109217,541,616,2928.8568877713815,385.85588417726706,683,441,291.27817383810884,350.04192583101997
WASP36B.2025-02-17.0186_reduced.fits,543,406,1412.4269731100662,364.37994290700783,446,362,244.79399013706814,355.1503390360897,541,616,2526.886783819811,360.8854457330786,683,441,258.4301141941467,344.7428086533265
WASP36B.2025-02-17.0149_reduced.fits,543,406,1720.4950609088007,381.9056856038246,446,362,302.4998127917199,357.7903268269487,541,616,3242.833570143239,393.2837226851427,683,441,324.4880312552666,357.8210533065352
WASP36B.2025-02-17.0187_reduced.fits,543,406,1506.4895289822148,371.9410596334832,446,362,250.38997477584945,344.731147387012,541,616,2712.571213132214,368.6425584000945,683,441,262.9990683296509,333.99757147170567
WASP36B.2025-02-17.0178_reduced.fits,543,406,1621.6788639709173,376.9671588320768,446,362,280.1951860061445,360.2999613863146,541,616,3029.855199760159,397.6279741421149,683,441,296.28751483000497,352.64544235153784
